COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_MF	p_M	N_MF	N_M
DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)!!!DNA primase, phage- or plasmid-associated	2	0.1572992070502845	1	MF	COG0358!!!COG3378	GC_00003735	1	0	1	1
Predicted metal-dependent hydrolase, TIM-barrel fold	2	0.1572992070502845	1	MF	COG3618	GC_00003839	1	0	1	1
Predicted metal-dependent hydrolase (YpuF) (PDB:2CWY)	2	0.1572992070502845	1	MF	COG1547	GC_00003932	1	0	1	1
Uncharacterized membrane protein YozV, TM2 domain, contains pTyr (TM2) (PUBMED:27148221)	2	0.1572992070502845	1	MF	COG2314	GC_00004112	1	0	1	1
Dephospho-CoA kinase (CoaE) (PDB:1JJV)	2	0.1572992070502845	1	MF	COG0237	GC_00004072	1	0	1	1
PepSY-associated TM region (PiuB) (PUBMED:15124630)	2	0.1572992070502845	1	MF	COG3182	GC_00004029	1	0	1	1
PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	2	0.1572992070502845	1	MF	COG3744	GC_00003800	1	0	1	1
Prophage maintenance system killer protein (Doc)	2	0.1572992070502845	1	MF	COG3654	GC_00003938	1	0	1	1
N-acetyl-anhydromuramyl-L-alanine amidase AmpD (AmpD) (PDB:2Y28)	2	0.1572992070502845	1	MF	COG3023	GC_00004022	1	0	1	1
Phage terminase-like protein, large subunit, contains N-terminal HTH domain (YmfN)	2	0.1572992070502845	1	MF	COG4626	GC_00003707	1	0	1	1
Stress-induced protein YlxP, DUF503 family (YlxP) (PDB:1J27) (PUBMED:15805528)	2	0.1572992070502845	1	MF	COG1550	GC_00003972	1	0	1	1
Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)	2	0.1572992070502845	1	MF	COG2161	GC_00003801	1	0	1	1
Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase (VirD4) (PDB:1GL6)	2	0.1572992070502845	1	MF	COG3505	GC_00003988	1	0	1	1
Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	2	0.1572992070502845	1	MF	COG2905	GC_00003841	1	0	1	1
HEAT repeat (HEAT) (PDB:1OYZ)	2	0.1572992070502845	1	MF	COG1413	GC_00003961	1	0	1	1
Predicted acetyltransferase	2	0.1572992070502845	1	MF	COG3981	GC_00003791	1	0	1	1
Predicted nucleic acid-binding protein, contains PIN domain	2	0.1572992070502845	1	MF	COG1569	GC_00003770	1	0	1	1
Replicative DNA helicase (DnaB) (PDB:1B79)!!!RecA-family ATPase (RepA)	2	0.1572992070502845	1	MF	COG0305!!!COG3598	GC_00003738	1	0	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)!!!PAS domain (PAS) (PDB:2MWG)	2	0.1572992070502845	1	MF	COG2199!!!COG2200!!!COG2202	GC_00003927	1	0	1	1
Transposase InsO and inactivated derivatives (Tra5)!!!Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	2	0.1572992070502845	1	MF	COG2801!!!COG2963	GC_00003596, GC_00003615, GC_00003783	1	0	1	1
Type I site-specific restriction endonuclease, part of a restriction-modification system (HsdR) (PDB:3H1T) (PUBMED:21169490)	2	0.1572992070502845	1	MF	COG4096	GC_00004114	1	0	1	1
ATPase/5-3 helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V) (RecD) (PDB:1W36) (PUBMED:29901759;30601118)	2	0.1572992070502845	1	MF	COG0507	GC_00003677	1	0	1	1
Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family (ElyC) (PDB:3CA8) (PUBMED:24391520)	2	0.1572992070502845	1	MF	COG1434	GC_00003599	1	0	1	1
Dienelactone hydrolase (DLH) (PDB:4ZV9)!!!Predicted phosphoribosyltransferase	2	0.1572992070502845	1	MF	COG0412!!!COG1926	GC_00003921	1	0	1	1
Predicted homoserine dehydrogenase, contains C-terminal SAF domain (PDB:3UPL)	2	0.1572992070502845	1	MF	COG4091	GC_00003633	1	0	1	1
Integrase/recombinase, includes phage integrase (FimB)	2	0.1572992070502845	1	MF	COG0582	GC_00004068	1	0	1	1
DNA-binding transcriptional regulator DnrI/AfsR/EmbR, SARP family, contains BTAD domain (DnrI) (PDB:2FEZ) (PUBMED:12625841)!!!Predicted ATPase	2	0.1572992070502845	1	MF	COG3629!!!COG3903	GC_00003822	1	0	1	1
Phage-related protein	2	0.1572992070502845	1	MF	COG5412	GC_00004083	1	0	1	1
mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)	2	0.1572992070502845	1	MF	COG2026	GC_00003592	1	0	1	1
