COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M	p_MF	N_M	N_MF
NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG)	2	0.1572992070502845	0.40904111070305105	M	COG0649	GC_00004101	1	0	1	1
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)!!!Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)	2	0.1572992070502845	0.40904111070305105	M	COG0596!!!COG0599	GC_00003186	1	0	1	1
Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family (YkaA) (PDB:2IIU)	2	0.1572992070502845	0.40904111070305105	M	COG1392	GC_00002520	1	0	1	1
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!Precorrin-6B methylase 2 (CobL) (PDB:1F38)	2	0.1572992070502845	0.40904111070305105	M	COG0438!!!COG1216!!!COG2242	GC_00006509	1	0	1	1
Uncharacterized protein, contains ferritin-like DUF455 domain	2	0.1572992070502845	0.40904111070305105	M	COG2833	GC_00007178	1	0	1	1
Citrate lyase beta subunit (CitE) (PDB:4ROQ)	2	0.1572992070502845	0.40904111070305105	M	COG2301	GC_00008062	1	0	1	1
Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)!!!DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	2	0.1572992070502845	0.40904111070305105	M	COG0456!!!COG1846	GC_00003063	1	0	1	1
ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)!!!GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)	2	0.1572992070502845	0.40904111070305105	M	COG0834!!!COG2199!!!COG2200!!!COG2202!!!COG2203	GC_00004134	1	0	1	1
D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family (OtnK) (PDB:1YZY) (PUBMED:27402745)	2	0.1572992070502845	0.40904111070305105	M	COG3395	GC_00005783, GC_00007314	1	0	1	1
Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP)!!!Na+ or H+-translocating membrane pyrophosphatase (OVP1) (PDB:4A01) (PUBMED:11342551)	2	0.1572992070502845	0.40904111070305105	M	COG2885!!!COG3808	GC_00003687, GC_00005298	1	0	1	1
Maleate cis-trans isomerase (PDB:2DGD)	2	0.1572992070502845	0.40904111070305105	M	COG3473	GC_00007503	1	0	1	1
Type II secretory pathway, component PulK (PulK) (PDB:5VTM)	2	0.1572992070502845	0.40904111070305105	M	COG3156	GC_00006286	1	0	1	1
Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)!!!Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	2	0.1572992070502845	0.40904111070305105	M	COG0475!!!COG1226	GC_00004326, GC_00005106	1	0	1	1
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria) (PtsA) (PDB:1EZA)	2	0.1572992070502845	0.40904111070305105	M	COG1080	GC_00003620	1	0	1	1
Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD (CzcO) (PDB:4USQ)	2	0.1572992070502845	0.40904111070305105	M	COG2072	GC_00000819, GC_00004933	1	0	1	1
Cytoskeletal protein CcmA, bactofilin family (CcmA) (PDB:2N3D)	2	0.1572992070502845	0.40904111070305105	M	COG1664	GC_00002922, GC_00006427	1	0	1	1
DNA-binding SWIB/MDM2 domain (Rsc6)	2	0.1572992070502845	0.40904111070305105	M	COG5531	GC_00008197	1	0	1	1
Phospholipase/lecithinase/hemolysin (PDB:6JL1)	2	0.1572992070502845	0.40904111070305105	M	COG3240	GC_00004010	1	0	1	1
Capsule polysaccharide export protein KpsC/LpsZ (KpsC) (PDB:5FA0)	2	0.1572992070502845	0.40904111070305105	M	COG3563	GC_00002826	1	0	1	1
LysM repeat (LysM) (PDB:1E0G)!!!Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)	2	0.1572992070502845	0.40904111070305105	M	COG1388!!!COG3209	GC_00004021	1	0	1	1
Cytochrome P450 (CypX) (PDB:3A4Z)	2	0.1572992070502845	0.40904111070305105	M	COG2124	GC_00002567, GC_00003597	1	0	1	1
Fructose-bisphosphate aldolase class 1 (Fba1)	2	0.1572992070502845	0.40904111070305105	M	COG3588	GC_00004612	1	0	1	1
Uncharacterized conserved protein, DUF779 family	2	0.1572992070502845	0.40904111070305105	M	COG3564	GC_00001276	1	0	1	1
BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)	2	0.1572992070502845	0.40904111070305105	M	COG2971	GC_00000574	1	0	1	1
Uncharacterized conserved protein Smg, DUF494 family (Smg)	2	0.1572992070502845	0.40904111070305105	M	COG2922	GC_00007464	1	0	1	1
Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase (RfaJ) (PDB:1G9R)	2	0.1572992070502845	0.40904111070305105	M	COG1442	GC_00001167, GC_00002282	1	0	1	1
N-acetylglucosamine-6-phosphate deacetylase (NagA) (PDB:1O12)	2	0.1572992070502845	0.40904111070305105	M	COG1820	GC_00001046	1	0	1	1
Alanine dehydrogenase (includes sporulation protein SpoVN) (Ald) (PDB:2EEZ)	2	0.1572992070502845	0.40904111070305105	M	COG0686	GC_00001426	1	0	1	1
Acetate kinase (AckA) (PDB:3SK3)	2	0.1572992070502845	0.40904111070305105	M	COG0282	GC_00004549	1	0	1	1
Uncharacterized protein, contains predicted SAM-dependent methyltransferase domain (PDB:4PIM)	2	0.1572992070502845	0.40904111070305105	M	COG4301	GC_00001329	1	0	1	1
Uncharacterized conserved protein, DUF497 family (PDB:3U97)	2	0.1572992070502845	0.40904111070305105	M	COG2929	GC_00005233	1	0	1	1
Capsule polysaccharide export protein KpsE/RkpR (KpsE)	2	0.1572992070502845	0.40904111070305105	M	COG3524	GC_00001976	1	0	1	1
Poly-beta-hydroxyalkanoate depolymerase (DepA)	2	0.1572992070502845	0.40904111070305105	M	COG4553	GC_00001292, GC_00002017	1	0	1	1
2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family (UshA) (PDB:1HO5)	2	0.1572992070502845	0.40904111070305105	M	COG0737	GC_00005499	1	0	1	1
Uncharacterized protein, contains Mth938-like domain	2	0.1572992070502845	0.40904111070305105	M	COG3737	GC_00007418	1	0	1	1
DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)	2	0.1572992070502845	0.40904111070305105	M	COG0783	GC_00006201	1	0	1	1
Uncharacterized conserved protein, contains SnoaL-like domain (SnoaL) (PDB:2K54)	2	0.1572992070502845	0.40904111070305105	M	COG4538	GC_00005907	1	0	1	1
Cation (Ca2+/Na+/K+)/H+ antiporter ChaA (ChaA) (PDB:4KJS) (PUBMED:18801996)	2	0.1572992070502845	0.40904111070305105	M	COG0387	GC_00007255	1	0	1	1
Phosphopantetheinyl transferase (Sfp) (PDB:1QR0)	2	0.1572992070502845	0.40904111070305105	M	COG2091	GC_00005642	1	0	1	1
N-terminal domain of uncharacterized protein YciW (function unknown) (YciW1)	2	0.1572992070502845	0.40904111070305105	M	COG4950	GC_00005412	1	0	1	1
D-ribose pyranose/furanose isomerase RbsD (RbsD) (PDB:1OGC)	2	0.1572992070502845	0.40904111070305105	M	COG1869	GC_00004739	1	0	1	1
Guanyl-specific ribonuclease Sa (PDB:1A2P)	2	0.1572992070502845	0.40904111070305105	M	COG4290	GC_00004927, GC_00005745	1	0	1	1
Membrane protein TolA involved in colicin uptake (TolA) (PDB:1S62)	2	0.1572992070502845	0.40904111070305105	M	COG3064	GC_00000107, GC_00005234	1	0	1	1
Phytoene/squalene synthetase (ERG9) (PDB:3WEK)	2	0.1572992070502845	0.40904111070305105	M	COG1562	GC_00006863, GC_00008150	1	0	1	1
Uncharacterized membrane protein YvlD, DUF360 family (YvlD)	2	0.1572992070502845	0.40904111070305105	M	COG1950	GC_00001425	1	0	1	1
Trehalose-6-phosphate synthase, GT20 family (OtsA) (PDB:1UQT) (PUBMED:28830929)	2	0.1572992070502845	0.40904111070305105	M	COG0380	GC_00007679	1	0	1	1
Uncharacterized conserved protein, cupin superfamily	2	0.1572992070502845	0.40904111070305105	M	COG3837	GC_00002548, GC_00002976, GC_00006051, GC_00006997	1	0	1	1
ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components (ATM1) (PDB:4MRN)	2	0.1572992070502845	0.40904111070305105	M	COG5265	GC_00003836	1	0	1	1
Fe2+ transporter FeoB (FeoB) (PDB:3TAH) (PUBMED:32095817)	2	0.1572992070502845	0.40904111070305105	M	COG0370	GC_00001761	1	0	1	1
Type IV pilus assembly protein PilZ (PilZ)	2	0.1572992070502845	0.40904111070305105	M	COG3215	GC_00002001	1	0	1	1
5-enolpyruvylshikimate-3-phosphate synthase (AroA) (PDB:4N3P)	2	0.1572992070502845	0.40904111070305105	M	COG0128	GC_00004218	1	0	1	1
Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase) (Pcp) (PDB:1AUG)	2	0.1572992070502845	0.40904111070305105	M	COG2039	GC_00002064	1	0	1	1
Antitoxin component HicB of the HicAB toxin-antitoxin system (HicB) (PDB:4P78) (PUBMED:19060138)	2	0.1572992070502845	0.40904111070305105	M	COG1598	GC_00004100	1	0	1	1
ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)	2	0.1572992070502845	0.40904111070305105	M	COG1079	GC_00007241	1	0	1	1
